player;nationality;position;squad;age;value;height;league;games;minutes;goals;assists;saves;Pts/G;CL
Martin Aguirregabiria;es ESP;DF;Alaves;23;4000000;178;La Liga;31;2099;1;1;0;1.03;0
Oliver Burke;sco SCO;MF_FW;Alaves;22;4000000;188;La Liga;31;1429;1;2;0;1.03;0
VĂ­ctor Camarasa;es ESP;MF;Alaves;25;4000000;183;La Liga;17;1293;0;1;0;1.03;0
RubĂ©n Duarte;es ESP;DF;Alaves;23;4000000;172;La Liga;31;2663;0;1;0;1.03;0
Rodrigo Ely;br BRA;DF;Alaves;25;1000000;188;La Liga;25;2121;2;0;0;1.03;0
Ljubomir Fejsa;rs SRB;MF;Alaves;30;2000000;183;La Liga;13;786;0;0;0;1.03;0
Manu GarcĂ­a;es ESP;MF;Alaves;33;1000000;183;La Liga;30;1967;0;0;0;1.03;0
John Guidetti;se SWE;FW;Alaves;27;1000000;185;La Liga;5;96;0;0;0;1.03;0
Joselu;es ESP;FW;Alaves;29;5000000;191;La Liga;36;2782;11;2;0;1.03;0
VĂ­ctor Laguardia;es ESP;DF;Alaves;29;7000000;185;La Liga;31;2654;1;2;0;1.03;0
Javi LĂłpez;es ESP;DF;Alaves;17;80000;180;La Liga;1;90;0;0;0;1.03;0
JosĂ© Luis RodrĂ­guez;pa PAN;FW;Alaves;21;45000;180;La Liga;1;22;0;0;0;1.03;0
Lisandro MagallĂˇn;ar ARG;DF;Alaves;25;4000000;185;La Liga;17;1197;1;1;0;1.03;0
Abdallahi Mahmoud;mr MTN;MF;Alaves;19;10000;187;La Liga;3;152;0;0;0;1.03;0
AdriĂˇn MarĂ­n;es ESP;DF;Alaves;22;65000;181;La Liga;12;852;0;0;0;1.03;0
Guillermo MaripĂˇn;cl CHI;DF;Alaves;25;11000000;193;La Liga;1;90;0;0;0;1.03;0
Ă‰dgar MĂ©ndez;es ESP;MF_FW;Alaves;29;1600000;187;La Liga;16;864;1;0;0;1.03;0
Ximo Navarro;es ESP;DF;Alaves;29;2000000;176;La Liga;23;1903;0;0;0;1.03;0
Fernando Pacheco;es ESP;GK;Alaves;27;14000000;186;La Liga;27;2358;0;0;61;1.03;0
Lucas PĂ©rez;es ESP;FW;Alaves;30;12000000;180;La Liga;34;2496;11;5;0;1.03;0
TomĂˇs Pina Isla;es ESP;MF;Alaves;31;1500000;185;La Liga;20;1344;1;0;0;1.03;0
Pere Pons;es ESP;MF;Alaves;26;3500000;177;La Liga;30;1088;1;1;0;1.03;0
